Headline,Sport
"All of Thursday's latest scores, fixtures and results on a busy night of international friendlies and European U21 Championship action. ",football
England edged Austria 1-0 in their first Euro 2020 warm-up game but who starred and who struggled at the Riverside?,football
"We pick out the key talking points, including Trent Alexander-Arnold's injury, Jude Bellingham's growing reputation, and a formation hint from Gareth Southgate...",football
News in brief and social media updates ahead of this summer's big event...,football
Back-page headlines and transfer rumours from Thursday's newspapers...,football
Scotland kicked off their Euro 2020 preparations with a 2-2 draw with the Netherlands in Portugal.,football
"Favourites France got their Euro 2020 preparations off to a fine start with a 3-0 win over Wales, who played over an hour with 10 men in Nice.",football
Bukayo Saka got England's Euro 2020 preparations off to a winning start - but there was an injury blow with Trent Alexander-Arnold forced off.,football
England manager Gareth Southgate believes some fans do not understand the message behind players taking a knee before games after the gesture was booed against Austria.,football
Get planning for the summer...,football
Gareth Southgate has named his final 26-man England squad for Euro 2020. Choose your starting XI for the opening match against Croatia on June 13 at Wembley.,football
"The latest build-up ahead of the Azerbaijan GP, with Valtteri Bottas still waiting for a plane in Finland for his arrival in Baku.",f1
"After a painful Monaco for Daniel Ricciardo, Mark Hughes assesses the McLaren driver's proud Baku record and asks whether it can be where he finds a 2021 breakthrough.",f1
New F1 championship leader Max Verstappen expects Mercedes to be more competitive on the streets of Baku than Monaco.,f1
Find out when to watch all the live coverage of the Azerbaijan GP live only on Sky Sports F1 this weekend.,f1
Aston Martin have announced a partnership with Racing Pride and revealed initiatives for June's Pride Month.,f1
Helio Castroneves claimed a historic fourth Indianapolis 500 victory on Sunday after overtaking Alex Palou in the closing laps to win a gripping race at the Brickyard.,f1
"The remainder of the 2021 Pakistan Super League will be played in Abu Dhabi from June 9, with the final set for June 24.",cricket
England's Adil Rashid believes The Hundred will be crucial in making cricket more diverse when it launches this summer.,cricket
Over-by-over commentary and in-play clips from the first Test between England and New Zealand at Lord's. Watch live on Sky Sports Cricket.,cricket
"The latest score from Lord's as England and New Zealand meet in the first Test of a two-match series, live on Sky Sports Cricket.",cricket
"Updates from Roland Garros with Ashleigh Barty, Roger Federer, Novak Djokovic, and Rafael Nadal among the names in action on Thursday.",tennis
"The 2020 runner-up Sofia Kenin, and Elina Svitolina both progressed safely into third round of the French Open on Thursday. ",tennis
Andy Murray has pulled out of the Nottingham Open to focus on Queen's and Wimbledon.,tennis
Casper Ruud is this year's dark horse at Roland Garros following his rapid rise up the ATP Tour rankings. He's even become a sporting celebrity back home in Norway.,tennis
